"rowid","gameid","home_team","home_score","home_turnovers","away_team","away_score","away_turnovers","TODifAway","TODifHome","PointDifHome","PointDifAway"
"92","2009102501","CLE",3,2,"GB",31,0,2,-2,-28,28
"93","2009102502","HOU",24,1,"SF",21,2,-1,1,3,-3
"94","2009102503","KC",7,3,"SD",37,0,3,-3,-30,30
"95","2009102504","PIT",27,1,"MIN",17,2,-1,1,10,-10
"96","2009102505","STL",6,2,"IND",42,0,2,-2,-36,36
"97","2009102506","TB",7,3,"NE",35,2,1,-1,-28,28
"98","2009102507","CAR",9,4,"BUF",20,0,4,-4,-11,11
"99","2009102508","OAK",0,4,"NYJ",38,0,4,-4,-38,38
"100","2009102509","DAL",37,1,"ATL",21,3,-2,2,16,-16
"101","2009102510","MIA",34,3,"NO",46,4,-1,1,-12,12
"102","2009102511","NYG",17,4,"ARI",24,2,2,-2,-7,7
"103","2009102600","WAS",17,4,"PHI",27,0,4,-4,-10,10
"104","2009110100","BAL",30,0,"DEN",7,1,-1,1,23,-23
"105","2009110101","BUF",10,2,"HOU",31,3,-1,1,-21,21
"106","2009110102","CHI",30,1,"CLE",6,5,-4,4,24,-24
"107","2009110103","DAL",38,1,"SEA",17,2,-1,1,21,-21
"108","2009110104","DET",10,1,"STL",17,1,0,0,-7,7
"109","2009110105","GB",26,0,"MIN",38,2,-2,2,-12,12
"110","2009110106","IND",18,0,"SF",14,2,-2,2,4,-4
"111","2009110107","NYJ",25,1,"MIA",30,1,0,0,-5,5
"112","2009110108","SD",24,2,"OAK",16,1,1,-1,8,-8
"113","2009110109","TEN",30,0,"JAC",13,2,-2,2,17,-17
"114","2009110110","ARI",21,6,"CAR",34,0,6,-6,-13,13
"115","2009110111","PHI",40,2,"NYG",17,3,-1,1,23,-23
"116","2009110200","NO",35,4,"ATL",27,3,1,-1,8,-8
"117","2009110800","ATL",31,1,"WAS",17,1,0,0,14,-14
"118","2009110801","CHI",21,1,"ARI",41,1,0,0,-20,20
"119","2009110802","CIN",17,1,"BAL",7,2,-1,1,10,-10
"120","2009110803","IND",20,2,"HOU",17,3,-1,1,3,-3
"121","2009110804","JAC",24,1,"KC",21,0,1,-1,3,-3
"122","2009110805","NE",27,1,"MIA",17,0,1,-1,10,-10
"123","2009110806","TB",38,1,"GB",28,3,-2,2,10,-10
"124","2009110807","NO",30,2,"CAR",20,3,-1,1,10,-10
"125","2009110808","SEA",32,2,"DET",20,5,-3,3,12,-12
"126","2009110809","NYG",20,1,"SD",21,2,-1,1,-1,1
"127","2009110810","SF",27,4,"TEN",34,0,4,-4,-7,7
"128","2009110811","PHI",16,2,"DAL",20,1,1,-1,-4,4
"129","2009110900","DEN",10,3,"PIT",28,2,1,-1,-18,18
"130","2009111200","SF",10,1,"CHI",6,5,-4,4,4,-4
"131","2009111500","CAR",28,0,"ATL",19,2,-2,2,9,-9
